Id	Name	PreOrConditions	PreConditions	Condition	ConditionParams	ExtConditionParams	DataType	RefreshType	RefreshTimeType	MaxValue	Refresh																																						
int	string	int[][]	int[][]	int	int[]	int[][]	int	int	int	int	bool																																						
"key,set"				"index,set"	set			index																																									
Id	名字	多个前置条件只需满足其中一个时	"前置条件（ConditionId,最小值,最大值;ConditionId,最小值,最大值）"	条件Id	条件参数	多个条件参数	数据类型 0-累加 1-当前值 2-最大值 3-最小值	刷新类型	刷新时间类型	更新最大值	更新间隔	数据说明																																					
1	登录天数	0	0	1	0	0		0	0	99999999	0	登录天数																																					
2	角色等级	0	0	2	0	0		0	0	99999999	0	等级最高的角色等级																																					
3	玩家等级	0	0	3	0	0		0	0	99999999	0	玩家等级																																					
4	表示真	0	0	0	0	0		0	0	99999999	0	表示返回值为1																																					
100	指定功能类型	0	0	100	0	0		0	0	99999999	0	需要指定到某个或某些角色作为条件时使用																																					
101	指定敌人ID	0	0	101	0	0		0	0	99999999	0	需要指定到某个或某些角色作为条件时使用																																					
102	指定角色类型	0	0	102	0	0		0	0	99999999	0	需要指定到某种角色类型时使用																																					
103	指定任务Display字段	0	0	103	0	0		0	0	99999999	0	需要限定某一个或多个任务页签（Display）条件时使用																																					
104	指定玩家等级	0	0	104	0	0		0	0	99999999	0	以玩家等级作为条件时使用																																					
105	指定牌型	0	0	105	0	0		0	0	99999999	0	需要指定某种或某几种牌型时使用																																					
106	指定累计登录天数	0	0	106	0	0		0	0	99999999	0	用于登录奖励类的活动或任务																																					
107	完成指定任务ID	0	0	107	0	0		0	0	99999999	0	需要以完成某个任务作为后续任务的前置条件时使用																																					
108	指定魔女等级	0	0	108	0	0		0	0	99999999	0	需要以角色等级范围作为条件时使用（适用魔女和敌人）																																					
109	指定星痕突破等级	0	0	109	0	0		0	0	99999999	0																																						
110	指定星痕觉醒等级	0	0	110	0	0		0	0	99999999	0																																						
111	指定奇物等级	0	0	111	0	0		0	0	99999999	0	需要以奇物等级范围作为条件时使用																																					
112	指定技能类型	0	0	112	0	0		0	0	99999999	0	以例如发动100次主动技能作为条件时使用																																					
113	指定道具ID	0	0	113	0	0		0	0	99999999	0	需要指定某个道具作为条件时使用																																					
115	指定关卡	0	0	115	0	0		0	0	99999999	0																																						
116	指定战斗胜利回合数	0	0	116	0	0		0	0	99999999	0																																						
117	指定关卡类型	0	0	117	0	0		0	0	99999999	0	需要指定关卡作为条件时使用																																					
118	指定战斗结果	0	0	118	0	0		0	0	99999999	0	指定战斗结果，0=失败，1=胜利																																					
122	指定专武等级	0	0	122	0	0		0	0	99999999	0	指定专武等级																																					
123	指定关卡章节ID	0	0	123	0	0		0	0	99999999	0	指定关卡章节ID																																					
124	指定星痕ID	0	0	124	0	0		0	0	99999999	0	需要指定到某个或某些星痕作为条件时使用																																					
125	指定星痕类型	0	0	125	0	0		0	0	99999999	0	需要指定到某种星痕类型时使用																																					
126	指定星痕等级	0	0	126	0	0		0	0	99999999	0	需要以星痕等级范围作为条件时使用																																					
128	指定魔女ID等级	0	0	128	0	0		0	0	99999999	0	指定魔女ID等级																																					
130	指定等级星痕技能数量	0	0	130	0	0		0	0	99999999	0	返回指定等级技能的数量																																					
131	指定门票ID	0	0	131	0	0		0	0	99999999	0	指定门票ID																																					
132	指定星痕好感度等级	0	0	132	0	0		0	0	99999999	0	指定星痕好感度等级																																					
133	指定星痕心契等级	0	0	133	0	0		0	0	99999999	0	指定星痕心契等级																																					
134	指定星痕品级	0	0	134	0	0		0	0	99999999	0	指定星痕品级																																					
135	星痕技能升级次数	0	0	135	0	0		0	0	99999999	0																																						
136	突破材料是否足够	0	0	136	0	0		0	0	99999999	0	"只有星痕升级时使用（弹窗礼包触发判断）0=没有,1=有"																																					
137	返回魔女装备符文数量	0	0	137	0	0		0	0	99999999	0	"只有魔女装备符文时使用（弹窗礼包触发判断）0=没有,1=有"																																					
138	指定星痕觉醒道具欠缺数量	0	0	138	0	0		0	0	99999999	0																																						
139	指定符文品质	0	0	139	0	0		0	0	99999999	0																																						
140	指定符文等级	0	0	140	0	0		0	0	99999999	0																																						
141	洗炼到指定品质的词条(锁词条和品质都不算)	0	0	141	0	0		0	0	99999999	0	返回结果1~3																																					
142	抽卡触发保底	0	0	142	0	0		0	0	99999999	0	"0=没有,1=有"																																					
143	抽到当期Up	0	0	143	0	0		0	0	99999999	0	"0=没有,1=有"																																					
144	指定星痕技能升级等级	0	0	144	0	0		0	0	99999999	0	只有星痕技能升级时使用（弹窗礼包触发判断）																																					
145	指定商品ID	0	0	145	0	0		0	0	99999999	0	参数配置：ShopItem表中商品ID																																					
146	星痕技能1	0	0	146	1	0		0	0	99999999	0																																						
147	星痕技能2	0	0	147	2	0		0	0	99999999	0																																						
148	星痕技能3	0	0	148	3	0		0	0	99999999	0																																						
149	指定星痕等级是否达到当前突破的等级上限	0	0	149	0	0		0	0	9999999	0	指定星痕等级是否达到当前突破的等级上限（心契突破全部算处于上限）																																					
150	指定魔女装备饰品数量	0	0	150	0	0		0	0	9999999	0	指定魔女装备饰品数量																																					
151	指定商品shopid	0	0	151	0	0		0	0	9999999	0	指定商品shopid																																					
152	指定关卡顺序(这是专门用了幻梦之境建立的条件，用于将同一怪物不同难度的关卡视为一个数据)	0	0	152	0	0		0	0	99999999		这是专门用了幻梦之境建立的条件，用于将同一怪物不同难度的关卡视为一个数据																																					
901	玩家当前行动次数	0	0	901	0	0		0	0	0	0	玩家当前行动次数																																					
1000	击败敌人数	0	0	1000	0	0		0	0	99999999	0	以击败敌人数量作为完成的条件时使用																																					
1001	战斗中受到的最低攻击次数	0	0	1001	0	0		0	0	99999	0	用于以被击次数限制作为条件的关卡使用																																					
1002	战斗累计造成伤害	0	0	1002	0	0		0	0	99999999	0	战斗累计对敌人造成的伤害总量																																					
1003	单个角色单场战斗造成的伤害	0	0	1003	0	0		0	0	99999999	0	以单角色在一场战斗中打出的伤害量作为条件时使用																																					
1004	战斗累计回复生命	0	0	1004	0	0		0	0	99999999	0	一般作为以回复总量作为条件的成就任务使用																																					
1005	单场战斗回复生命	0	0	1005	0	0		0	0	99999999	0	以单场战斗受到的总治疗量作为条件时使用																																					
1006	战斗累计受到伤害(单场战斗)	0	0	1006	0	0		0	0	99999999	0	以单场战斗受到的伤害最大值作为条件时使用																																					
1007	单场战斗受到伤害	0	0	1007	0	0		0	0	99999999	0																																						
1008	完成过的任务总量	0	0	1008	0	0		0	0	99999999	0	以完成过的任务总数作为条件时使用																																					
1009	当前主线关卡id	0	0	1009	0	0		0	0	99999999	0																																						
1010	战斗累计回合数	0	0	1010	0	0		0	0	99999999	0	一般作为需要以累计战斗总回合作为条件的成就任务用																																					
1011	单场战斗胜利最少回合数	0	0	1011	0	0		0	0	99999999	0	搭配指定条件的关卡，表示关卡通关最少回合数																																					
1012	已获得魔女数量	0	0	1012	0	0		0	0	99999999	0	玩家已经获得的不同魔女的数量																																					
1013	已获得星痕数量	0	0	1013	0	0		0	0	99999999	0	玩家已经获得的不同星痕的数量																																					
1015	角色突破次数	0	0	1015	0	0		0	0	99999999	0	给拥有的角色进行突破的总次数																																					
1017	指定赛事（天梯赛）段位	0	0	1017	0	0		0	0	99999999	0	以达到指定的天梯段位作为条件时使用																																					
1019	战斗结算时存活的魔女数量	0	0	1019	0	0		0	0	9999	0																																						
1022	战斗胜利次数	0	0	1022	0	0		0	0	99999999	0	任意战斗胜利的总次数																																					
1023	战斗失败次数	0	0	1023	0	0		0	0	99999999	0	任意战斗的失败总次数																																					
1024	战斗次数	0	0	1024	0	0		0	0	99999999	0	任意战斗的总次数																																					
1025	关卡通关次数	0	0	1025	0	0		0	0	99999999	0	任意关卡通关次数																																					
1026	消耗道具	0	0	1026	0	0		0	0	99999999	0	需要以使用或消耗道具为条件时用																																					
1027	得到指定数量的道具	0	0	1027	0	0		0	0	99999999	0	需要以获得道具作为条件时使用																																					
1028	活动是否开启	0	0	1028	0	0		0	0	99999999	0	活动相关的条件使用，都需要以此条作为基础条件																																					
1029	最大通关关卡id	0	0	1029	0	0		0	0	99999999	0	需要用到通关关卡进度作为条件时使用																																					
1030	指定条件ID的总和	0	1	1030	0	0		0	0	99999999	0																																						
1031	拥有指定数量的道具	0	0	1031	0	0		0	0	99999999	0	以玩家身上拥有的道具数量为条件时使用																																																																								
